----- BEGIN /raw_seg_noise_25s_42798.csv (711381 bytes) -----
#BEGIN {"ver":4,"type":"segment","mode":"noise","key":"-","rep":0,"fs_hz":48000,"hop":256,"n_fft":1024,"fmin":50.0,"fmax":3500.0,"pre_ms":60,"lead_ms":150,"post_ms":400,"stored_pre_ms":210,"ms_per_frame":5.33333,"t_ms":42798}
ms_from_event,rms,flux,centroid_hz,spread_hz,rolloff85_hz,flatness,zcr,band0,band1,band2,band3,band4,band5,peak_hz,peak_mag,peak_ratio,low_dom
0,0.000094,0.263079,1052.32,1056.13,2578.12,0.596722,0.156863,-0.318774,0.163160,0.581078,-0.161647,-0.357379,0.093561,140.62,0.022533,6.7816,0.5135
5,0.000087,0.303313,895.25,989.09,2250.00,0.514849,0.121569,-0.208691,0.718081,0.590338,-0.548813,-0.436210,-0.114706,281.25,0.032261,8.3933,0.6295
11,0.000095,0.207986,937.25,1014.66,2296.88,0.519408,0.192157,-0.461181,0.661437,0.734298,-0.465074,-0.413488,-0.055993,281.25,0.039440,10.2973,0.5829
16,0.000081,0.197987,938.26,1041.84,2390.62,0.515236,0.160784,-0.571860,0.855916,0.672499,-0.594845,-0.308436,-0.053273,234.38,0.042754,10.6034,0.5800
21,0.000085,0.207952,963.46,1005.47,2296.88,0.553914,0.164706,-0.712376,0.689682,0.717469,-0.492334,-0.152307,-0.050134,281.25,0.043811,10.9677,0.5225
27,0.000087,0.194421,983.39,969.00,2296.88,0.581872,0.164706,-0.965591,0.207894,0.885063,-0.072992,-0.063132,0.008758,328.12,0.044652,12.2396,0.4130
32,0.000070,0.231325,1036.54,983.59,2343.75,0.574206,0.274510,-0.815663,-0.143783,0.962904,-0.156839,-0.084710,0.238090,328.12,0.048384,12.7951,0.3644
37,0.000078,0.214307,1172.72,1057.10,2671.88,0.625050,0.223529,-0.998929,-0.073632,0.820469,-0.276494,0.054209,0.474377,328.12,0.037685,10.3789,0.3099
43,0.000088,0.248358,1064.52,1013.53,2484.38,0.633959,0.149020,-1.308922,0.375924,0.827483,-0.078887,-0.091841,0.276241,328.12,0.035998,9.4677,0.3638
48,0.000097,0.227289,1076.83,1021.16,2484.38,0.584767,0.184314,-1.377153,0.359214,0.872721,0.073305,-0.284046,0.355959,281.25,0.037829,9.1792,0.3670
53,0.000081,0.313493,1052.72,1024.41,2437.50,0.593534,0.141176,-1.214378,0.445251,0.809836,0.032805,-0.272728,0.199214,281.25,0.040448,8.4699,0.4139
59,0.000062,0.175073,1027.07,1011.40,2484.38,0.585018,0.329412,-1.414545,0.416862,1.019373,-0.008620,-0.302592,0.289522,281.25,0.043068,10.5426,0.3794
64,0.000079,0.104467,1137.37,1085.08,2625.00,0.598560,0.207843,-1.115825,0.336910,0.881648,-0.265137,-0.272885,0.435289,328.12,0.034842,11.4744,0.3845
69,0.000063,0.282802,1096.47,1042.31,2531.25,0.630608,0.254902,-1.160726,0.244878,0.754704,0.104392,-0.207876,0.264628,328.12,0.029871,7.9729,0.3808
75,0.000058,0.246985,1165.98,1034.29,2625.00,0.676791,0.294118,-0.778949,-0.006914,0.557537,-0.016399,-0.008057,0.252784,281.25,0.025120,6.2363,0.3740
80,0.000073,0.094072,1277.45,1075.23,2671.88,0.728524,0.282353,-0.735879,0.117308,0.481105,-0.302512,-0.003635,0.443614,281.25,0.021783,6.7091,0.3707
85,0.000064,0.233953,1086.82,1022.76,2437.50,0.650023,0.313726,-0.480764,0.180748,0.470447,-0.232181,-0.133516,0.195266,328.12,0.021257,7.0895,0.4549
