 === KEY_DUMP_BEGIN key=C4 mode=noise files=10 ===
----- BEGIN /raw_noise_C4_r01_50748.csv (17574 bytes) -----
#BEGIN {"ver":4,"type":"keypress","mode":"noise","key":"C4","rep":1,"fs_hz":48000,"hop":256,"n_fft":1024,"fmin":50.0,"fmax":3500.0,"pre_ms":60,"lead_ms":150,"post_ms":400,"stored_pre_ms":210,"ms_per_frame":5.33333,"t_ms":50748}
ms_from_event,rms,flux,centroid_hz,spread_hz,rolloff85_hz,flatness,zcr,band0,band1,band2,band3,band4,band5,peak_hz,peak_mag,peak_ratio,low_dom
-208,0.000088,0.193285,978.57,1086.00,2671.88,0.516326,0.223529,-0.004165,0.630098,0.267953,-0.040802,-0.870719,0.017635,140.62,0.041031,9.4047,0.6769
-203,0.000082,0.198270,1039.92,1074.47,2625.00,0.539507,0.196078,-0.114156,0.273287,0.407184,0.126207,-0.770767,0.078245,140.62,0.032343,7.7703,0.6049
-197,0.000096,0.255428,1033.83,1077.39,2671.88,0.578627,0.223529,-0.221874,0.237672,0.528673,-0.100309,-0.583549,0.139387,328.12,0.035983,8.0811,0.5572
-192,0.000082,0.175855,959.86,1010.59,2437.50,0.531149,0.203922,-0.408332,0.264616,0.720693,-0.057806,-0.542898,0.023726,328.12,0.046196,10.3005,0.5468
-187,0.000095,0.126583,1052.87,1057.00,2718.75,0.545751,0.164706,-0.535317,0.126177,0.764300,-0.130442,-0.481008,0.256288,328.12,0.047977,11.8670,0.4770
-181,0.000061,0.197143,1116.37,1070.73,2765.62,0.595533,0.298039,-0.841907,-0.055430,0.914788,-0.072731,-0.325167,0.380447,328.12,0.043320,10.0117,0.3831
-176,0.000161,0.146266,1139.62,1094.88,2765.62,0.613584,0.078431,-0.662728,0.226202,0.677663,-0.033704,-0.478289,0.270857,375.00,0.034755,8.5834,0.4714
-171,0.000222,0.402537,801.53,956.34,2156.25,0.472520,0.058824,0.053540,0.775119,0.543292,-0.433867,-0.740804,-0.197281,140.62,0.055295,9.3774,0.7075
-165,0.000338,0.325754,642.78,869.17,1640.62,0.376516,0.039216,0.698768,1.133718,-0.087284,-0.617615,-0.631203,-0.496384,140.62,0.122743,18.3166,0.8146
-160,0.000510,0.310952,540.47,830.48,1265.62,0.300668,0.003922,1.100056,1.361434,-0.345552,-0.707021,-0.817462,-0.591454,140.62,0.200033,22.7206,0.8738
-155,0.000485,0.300197,485.08,801.65,703.12,0.243663,0.031373,1.194489,1.542123,0.002900,-1.067121,-1.130273,-0.542118,140.62,0.287055,24.0020,0.9007
-149,0.000464,0.230285,396.96,649.08,468.75,0.175683,0.003922,1.145187,1.565688,0.357231,-0.869628,-1.274972,-0.923505,140.62,0.342435,23.3696,0.9209
-144,0.000486,0.108338,433.33,681.72,468.75,0.188391,0.015686,1.057522,1.396684,0.443907,-0.710431,-1.299438,-0.888244,140.62,0.332006,22.8537,0.9106
-139,0.000568,0.137807,440.47,692.54,468.75,0.209034,0.011765,1.031938,1.389778,0.538285,-0.837376,-1.248057,-0.874569,140.62,0.318946,21.0074,0.9065
-133,0.000435,0.086798,449.99,692.39,515.62,0.216344,0.023529,0.993375,1.390867,0.428929,-0.810522,-1.118989,-0.883660,140.62,0.342068,22.1533,0.8997
-128,0.000675,0.123043,409.24,647.73,468.75,0.199367,0.011765,1.103582,1.489155,0.252150,-0.700807,-1.159610,-0.984470,140.62,0.374099,23.3723,0.9144
-123,0.000556,0.147203,415.02,642.92,468.75,0.180883,0.039216,1.051174,1.460243,0.553078,-0.752647,-1.315523,-0.996326,140.62,0.398423,22.4285,0.9177
-117,0.000627,0.082179,428.60,652.30,468.75,0.206128,0.035294,1.018896,1.402857,0.481839,-0.612854,-1.288136,-1.002602,140.62,0.405426,21.8588,0.9134
-112,0.000488,0.063848,407.80,602.37,515.62,0.196374,0.039216,1.036121,1.412883,0.514912,-0.455314,-1.346235,-1.162368,140.62,0.400798,21.7649,0.9226
-107,0.000688,0.043531,410.45,632.43,515.62,0.196318,0.019608,1.112134,1.519635,0.370041,-0.636245,-1.318964,-1.046602,140.62,0.404553,23.2899,0.9240
-101,0.000575,0.075366,435.12,683.69,562.50,0.219505,0.015686,1.143831,1.548041,0.203216,-0.906749,-1.187481,-0.800857,140.62,0.425908,24.4250,0.9121
-96,0.000670,0.086014,433.51,679.61,562.50,0.213296,0.003922,1.167882,1.530340,-0.027910,-0.852694,-1.012524,-0.805095,140.62,0.441177,25.1427,0.9053
-91,0.000494,0.051130,434.56,670.12,609.38,0.213380,0.039216,1.107936,1.467382,-0.051640,-0.538787,-1.065201,-0.919690,140.62,0.436057,25.0367,0.9072
-85,0.000630,0.043199,415.06,627.85,609.38,0.201537,0.035294,1.114906,1.468089,-0.030626,-0.396370,-1.124722,-1.031277,140.62,0.424888,24.9912,0.9145
-80,0.000463,0.072200,463.11,689.49,703.12,0.223414,0.078431,0.995120,1.376926,0.054580,-0.418601,-1.157630,-0.850396,140.62,0.408093,23.2244,0.8994
-75,0.000520,0.059655,497.91,734.03,750.00,0.243559,0.019608,0.923218,1.290222,0.064329,-0.392596,-1.185019,-0.700153,140.62,0.377706,22.4232,0.8859
-69,0.000271,0.061852,553.18,785.48,1125.00,0.286672,0.086275,0.802488,1.169569,0.113498,-0.418544,-1.044275,-0.622736,140.62,0.334081,20.6243,0.8605
-64,0.000325,0.055137,488.98,678.54,750.00,0.260291,0.062745,0.796517,1.146076,0.292668,-0.305014,-0.981855,-0.948391,140.62,0.275208,19.5646,0.8740
-59,0.000188,0.041050,519.20,706.16,796.88,0.282699,0.133333,0.674383,1.058831,0.411264,-0.192282,-1.043599,-0.908597,140.62,0.207281,17.3518,0.8633
-53,0.000161,0.054495,586.30,766.97,1078.12,0.312708,0.101961,0.517651,0.850983,0.515849,-0.183737,-0.967391,-0.733356,140.62,0.140453,15.1462,0.8227
-48,0.000115,0.056860,628.35,765.65,1312.50,0.325708,0.152941,0.266272,0.675735,0.746330,-0.170355,-0.890544,-0.627438,421.88,0.080662,10.8648,0.7738
-43,0.000101,0.183056,791.01,853.52,1828.12,0.459040,0.145098,-0.342657,0.286021,0.867876,0.173163,-0.627284,-0.357118,421.88,0.062829,10.1155,0.6139
-37,0.000136,0.151961,949.98,903.19,2109.38,0.510026,0.086275,-0.855143,-0.160364,0.946908,0.365273,-0.161641,-0.135031,421.88,0.062487,11.5685,0.4111
-32,0.000157,0.170742,950.94,929.98,2203.12,0.505103,0.098039,-0.728317,0.001126,0.875811,0.192341,-0.269087,-0.071873,421.88,0.071660,12.2510,0.4519
-27,0.000180,0.238703,833.38,898.83,2015.62,0.456810,0.090196,-0.435055,0.291688,0.853819,0.058906,-0.533113,-0.236244,421.88,0.076676,11.1156,0.5776
-21,0.000115,0.231185,739.92,864.89,1687.50,0.446073,0.168627,-0.152516,0.633853,0.793544,-0.249544,-0.610534,-0.414802,421.88,0.065534,8.5558,0.6799
-16,0.000160,0.103574,669.01,837.81,1453.12,0.370695,0.035294,-0.006064,0.853944,0.837143,-0.246167,-0.943579,-0.495277,281.25,0.064352,8.8422,0.7583
-11,0.000139,0.101516,754.25,901.07,1781.25,0.420642,0.090196,-0.030991,0.611436,0.878866,-0.255319,-0.810311,-0.393683,281.25,0.065104,10.4879,0.7093
-5,0.000159,0.186246,705.48,862.25,1640.62,0.406675,0.074510,0.142243,0.782503,0.782366,-0.525497,-0.621761,-0.559853,281.25,0.068239,10.0907,0.7414
0,0.000169,0.134846,685.60,880.45,1546.88,0.385120,0.090196,0.237675,0.931628,0.679175,-0.510441,-0.838669,-0.499368,140.62,0.072268,11.0358,0.7779
5,0.003199,0.909506,995.28,886.93,2062.50,0.695037,0.019608,-0.745277,0.067604,0.394272,0.333657,0.125936,-0.176192,281.25,0.293523,4.0562,0.4222
11,0.002207,0.565877,949.82,866.55,1968.75,0.637359,0.019608,-0.651177,0.108035,0.425245,0.336240,0.088198,-0.306540,281.25,0.764228,4.5899,0.4595
16,0.003142,0.095054,872.15,829.37,1734.38,0.538235,0.007843,-0.651835,0.245585,0.514071,0.349477,0.050140,-0.507439,281.25,1.052473,7.5452,0.5064
21,0.002654,0.304674,693.50,750.80,1453.12,0.387231,0.007843,-0.331351,0.853832,0.575857,0.074212,-0.152802,-1.019748,234.38,1.335301,9.5583,0.7000
27,0.001020,0.157023,674.29,756.25,1406.25,0.375030,0.031373,-0.112499,0.790771,0.728171,-0.155404,-0.217463,-1.033577,281.25,1.340109,10.0705,0.7241
32,0.001950,0.077431,694.58,790.88,1453.12,0.368962,0.007843,-0.057357,0.846426,0.564153,-0.293410,-0.191671,-0.868141,140.62,0.797613,8.1195,0.7159
37,0.001478,0.197338,772.10,834.72,1734.38,0.448313,0.011765,0.031345,0.518161,0.342530,-0.055641,-0.070284,-0.766111,93.75,0.743031,8.4105,0.6666
43,0.002060,0.164202,670.18,760.76,1453.12,0.346720,0.007843,0.246883,0.688161,0.306578,0.103211,-0.250533,-1.094300,140.62,0.907428,11.1899,0.7577
48,0.001757,0.158586,683.62,760.86,1500.00,0.389434,0.019608,0.258890,0.590280,0.276601,0.215940,-0.287140,-1.054571,140.62,0.927371,10.9535,0.7494
53,0.001102,0.271650,760.49,831.28,1687.50,0.494503,0.011765,0.290342,0.531569,0.013557,0.111218,-0.193879,-0.752807,93.75,0.947119,9.4991,0.7077
59,0.000912,0.127714,691.23,770.25,1406.25,0.424240,0.015686,0.147017,0.644722,0.332350,0.080611,-0.339325,-0.865374,140.62,0.725815,8.6866,0.7307
64,0.000726,0.093702,894.55,882.62,1968.75,0.592259,0.015686,-0.051409,0.228221,0.263301,0.060204,-0.115697,-0.384620,93.75,0.432776,7.4231,0.5838
69,0.000647,0.132055,846.99,827.41,1734.38,0.493302,0.019608,0.195399,0.425214,-0.305112,0.167488,0.127944,-0.610933,140.62,0.432154,10.2586,0.6346
75,0.000603,0.209278,718.18,697.24,1453.12,0.314876,0.031373,-0.203894,0.648722,0.374649,0.307409,0.004006,-1.130891,140.62,0.316341,8.2925,0.6869
80,0.000658,0.158806,773.01,701.11,1453.12,0.360728,0.031373,-0.580528,0.504280,0.639883,0.438613,0.097206,-1.099453,234.38,0.282638,8.3317,0.6137
85,0.001233,0.293947,775.03,751.41,1453.12,0.453598,0.007843,-0.447526,0.495659,0.478162,0.302484,0.090209,-0.918989,234.38,0.317798,8.0531,0.6079
91,0.001737,0.376255,693.33,765.84,1312.50,0.447178,0.003922,0.112905,0.549825,0.417368,0.085663,-0.271624,-0.894137,93.75,0.441412,7.5624,0.7139
96,0.001098,0.254370,539.87,664.78,1171.88,0.294550,0.015686,0.679593,1.031560,0.108918,-0.155153,-0.295583,-1.369335,140.62,0.853464,15.0385,0.8440
101,0.001717,0.132306,477.27,587.07,1031.25,0.210270,0.003922,0.832479,1.288768,0.056594,-0.119909,-0.234376,-1.823556,140.62,0.993710,19.5899,0.8899
107,0.001393,0.128569,507.38,639.21,1171.88,0.265896,0.015686,0.778148,1.231779,-0.089364,-0.282635,-0.210291,-1.427638,140.62,0.944792,17.7312,0.8610
112,0.001053,0.283878,574.99,719.50,1171.88,0.376553,0.007843,0.633775,0.872519,0.082666,-0.181819,-0.283836,-1.123304,93.75,0.845978,13.6113,0.8110
117,0.001167,0.112285,508.19,633.45,1031.25,0.270268,0.003922,0.858294,1.021066,-0.304566,0.134252,-0.267468,-1.441579,140.62,0.764383,15.1341,0.8574
123,0.000940,0.091805,492.80,619.72,984.38,0.247052,0.011765,0.809617,1.189573,-0.275373,-0.039525,-0.237725,-1.446567,140.62,0.753312,18.1138,0.8632
128,0.001123,0.193507,606.18,764.56,1406.25,0.386487,0.015686,0.756930,0.927075,-0.399100,-0.146170,-0.244403,-0.894332,93.75,0.594169,15.8230,0.8040
133,0.001060,0.220954,552.22,698.96,1125.00,0.302921,0.003922,0.685952,0.995734,-0.051513,-0.077470,-0.386948,-1.165756,93.75,0.623205,13.7370,0.8344
139,0.001117,0.210241,686.41,811.96,1453.12,0.465333,0.007843,0.416203,0.679252,0.159801,-0.027526,-0.486413,-0.741316,93.75,0.624745,12.2249,0.7616
144,0.000913,0.135281,568.30,712.27,1171.88,0.346195,0.003922,0.682611,0.995391,-0.111144,-0.080873,-0.417368,-1.068619,140.62,0.621496,14.8861,0.8295
149,0.001394,0.099557,483.63,608.80,1078.12,0.246401,0.003922,0.728566,1.172584,0.175796,-0.213625,-0.357241,-1.506081,140.62,0.570869,14.5790,0.8679
155,0.001191,0.260052,533.62,699.87,1125.00,0.328031,0.007843,0.687144,0.964684,0.191685,-0.326148,-0.392664,-1.124701,93.75,0.651359,14.6818,0.8299
160,0.000913,0.275166,442.49,633.99,890.62,0.235002,0.023529,0.871422,1.351139,0.225446,-0.600654,-0.599504,-1.247850,140.62,0.734651,14.4645,0.8844
165,0.001531,0.131953,599.36,780.41,1218.75,0.393771,0.003922,0.583611,0.985646,0.083815,-0.331049,-0.453394,-0.868629,93.75,0.667684,14.5966,0.8093
171,0.001202,0.145579,445.63,658.91,796.88,0.263111,0.035294,1.000570,1.398296,0.063881,-0.591432,-0.775897,-1.095417,140.62,0.726040,17.9090,0.8943
176,0.001501,0.139522,368.82,559.04,562.50,0.191695,0.011765,1.152647,1.492584,0.327475,-0.700080,-0.846077,-1.426548,140.62,0.764150,18.2882,0.9212
181,0.001025,0.219999,433.76,637.53,796.88,0.264648,0.007843,0.969464,1.187083,0.394521,-0.568817,-0.764351,-1.217899,93.75,0.821876,17.7297,0.8879
187,0.001023,0.225731,469.03,697.70,890.62,0.285604,0.015686,0.919163,1.263916,0.206575,-0.584584,-0.808199,-0.996871,93.75,0.762358,14.9909,0.8802
192,0.001339,0.230301,744.28,869.79,1734.38,0.532674,0.011765,0.411873,0.735370,-0.088944,-0.184808,-0.341596,-0.531896,93.75,0.660988,12.9359,0.7331
197,0.001045,0.147881,543.94,755.11,1218.75,0.340308,0.003922,0.852578,1.225158,-0.247468,-0.487527,-0.537443,-0.805298,140.62,0.728260,17.8397,0.8469
203,0.000962,0.084726,344.61,572.37,421.88,0.151207,0.015686,1.422994,1.666225,0.190360,-1.174853,-0.832998,-1.271728,140.62,0.767760,24.8766,0.9307
208,0.000864,0.315219,572.20,779.15,1265.62,0.381019,0.031373,0.733019,1.159887,0.053519,-0.653918,-0.486339,-0.806167,140.62,0.621090,15.1783,0.8310
213,0.000856,0.368216,826.75,896.20,1875.00,0.574217,0.003922,0.067817,0.517897,0.203749,-0.191930,-0.141831,-0.455702,93.75,0.461882,9.1780,0.6437
219,0.000817,0.072056,797.04,874.27,1781.25,0.504279,0.015686,0.193955,0.431730,0.270259,-0.186909,-0.171637,-0.537398,93.75,0.453041,9.7591,0.6609
224,0.000603,0.183814,622.49,783.78,1359.38,0.402091,0.011765,0.693634,0.908914,-0.143510,-0.321797,-0.301185,-0.836055,140.62,0.479891,14.3746,0.7974
229,0.000674,0.081274,500.20,651.99,1031.25,0.260608,0.007843,0.865777,1.143004,-0.041694,-0.198112,-0.406229,-1.362745,140.62,0.481799,19.7020,0.8686
235,0.000505,0.154460,534.15,700.82,1218.75,0.313861,0.050980,0.784845,1.099236,0.006714,-0.490103,-0.333961,-1.066730,140.62,0.380198,15.3028,0.8379
240,0.000416,0.244145,682.63,810.67,1500.00,0.429725,0.031373,0.498581,0.676448,-0.033931,-0.261580,-0.118600,-0.760917,93.75,0.290090,11.3888,0.7364
245,0.000354,0.219846,794.67,833.64,1687.50,0.520373,0.019608,-0.048763,0.377339,0.290922,0.072933,-0.064920,-0.627511,234.38,0.184842,6.9596,0.6249
251,0.000378,0.110555,661.95,756.88,1406.25,0.404465,0.082353,0.102777,0.781070,0.452044,-0.073437,-0.299225,-0.963228,234.38,0.222195,10.8484,0.7452
256,0.000280,0.097071,597.01,693.91,1218.75,0.316774,0.039216,0.072285,1.044883,0.526727,-0.137298,-0.399384,-1.107212,234.38,0.198577,12.5382,0.7878
261,0.000278,0.153896,654.17,758.77,1312.50,0.375608,0.054902,0.159947,0.816758,0.445374,-0.142673,-0.389517,-0.889888,281.25,0.149532,10.0901,0.7555
267,0.000438,0.168553,727.07,805.99,1359.38,0.420875,0.027451,-0.135694,0.673283,0.405620,0.034509,-0.266949,-0.710769,281.25,0.154035,11.1372,0.6808
272,0.000460,0.262463,575.92,716.96,1031.25,0.314868,0.027451,-0.029047,1.093644,0.645612,-0.192350,-0.579946,-0.937912,234.38,0.202861,12.8677,0.7844
277,0.000486,0.191200,541.57,690.87,1031.25,0.292298,0.027451,0.238039,1.085086,0.780559,-0.350376,-0.703647,-1.049661,281.25,0.196163,12.2441,0.8232
283,0.000320,0.274671,492.55,650.77,984.38,0.272242,0.086275,0.615308,1.024991,0.615525,-0.481109,-0.544846,-1.229869,93.75,0.216393,11.3175,0.8465
288,0.000485,0.110691,514.10,670.51,984.38,0.283100,0.054902,0.517205,0.998854,0.504898,-0.233857,-0.555626,-1.231473,93.75,0.212514,12.1558,0.8391
293,0.000328,0.136825,549.86,699.90,1078.12,0.316644,0.035294,0.414917,0.908442,0.543419,-0.242428,-0.437392,-1.186959,93.75,0.199224,11.5653,0.8136
299,0.000493,0.145723,522.24,688.84,1031.25,0.292570,0.050980,0.491946,1.015700,0.502880,-0.276098,-0.578361,-1.156067,93.75,0.203938,11.6688,0.8349
304,0.000288,0.130308,552.83,724.71,1078.12,0.333743,0.054902,0.563808,0.933899,0.464529,-0.368850,-0.622118,-0.971267,93.75,0.226165,13.5506,0.8243
309,0.000282,0.197358,506.96,685.64,984.38,0.298451,0.011765,0.818954,1.072396,-0.013961,-0.232211,-0.560788,-1.084389,140.62,0.233509,13.6474,0.8542
315,0.000240,0.084297,658.11,785.44,1453.12,0.387926,0.062745,0.530750,0.897318,-0.210750,-0.220609,-0.296311,-0.700398,140.62,0.208076,15.6666,0.7707
320,0.000376,0.201119,753.87,850.51,1781.25,0.453025,0.027451,0.115406,0.660345,0.167690,-0.106714,-0.419266,-0.417461,93.75,0.101558,7.8100,0.6913
325,0.000273,0.258479,687.65,761.83,1312.50,0.392442,0.066667,-0.300678,0.848921,0.586035,-0.140606,-0.247434,-0.746238,234.38,0.143985,9.6645,0.6837
331,0.000267,0.178673,605.51,678.52,1171.88,0.338019,0.050980,-0.031806,0.869672,0.699775,-0.212037,-0.157058,-1.168547,281.25,0.163018,11.0104,0.7468
336,0.000425,0.118537,562.16,692.49,1125.00,0.311610,0.031373,-0.000242,1.095068,0.732392,-0.385386,-0.318982,-1.122851,234.38,0.147903,12.7370,0.7805
341,0.000582,0.412402,713.94,824.51,1546.88,0.459534,0.011765,0.049193,0.669697,0.568838,-0.157968,-0.428457,-0.701303,281.25,0.159385,9.6794,0.7159
347,0.000501,0.414084,757.66,852.64,1640.62,0.535435,0.015686,0.078153,0.547243,0.374805,-0.059661,-0.341527,-0.599012,93.75,0.236337,8.4322,0.6863
352,0.000307,0.182932,603.84,806.59,1312.50,0.324853,0.043137,0.702835,0.944677,-0.083823,-0.297387,-0.551947,-0.714354,93.75,0.290429,12.8389,0.8111
357,0.000389,0.225208,748.45,846.57,1734.38,0.509581,0.019608,0.251002,0.586535,0.182665,-0.106775,-0.384067,-0.529361,93.75,0.241696,11.0672,0.7059
363,0.000234,0.088628,659.02,803.88,1500.00,0.413808,0.050980,0.576766,0.822949,-0.112572,-0.192298,-0.348480,-0.746365,93.75,0.188708,12.4355,0.7768
368,0.000257,0.118483,550.58,731.85,1218.75,0.289625,0.066667,0.540820,1.058731,0.325951,-0.410434,-0.454939,-1.060129,140.62,0.170581,12.9411,0.8260
373,0.000378,0.178497,620.46,728.92,1218.75,0.327163,0.015686,-0.092298,0.879612,0.662306,-0.228824,-0.276366,-0.944428,281.25,0.131210,11.5994,0.7319
379,0.000337,0.280715,695.38,792.66,1453.12,0.403440,0.015686,-0.491081,0.929202,0.797414,-0.398033,-0.212691,-0.624812,234.38,0.177648,12.8505,0.6543
384,0.000247,0.294172,771.64,818.11,1640.62,0.493335,0.058824,-0.330230,0.599867,0.686192,-0.249093,-0.090243,-0.616493,281.25,0.179061,10.3133,0.6197
389,0.000306,0.140395,682.52,797.79,1453.12,0.419945,0.058824,-0.152716,0.885045,0.599901,-0.274583,-0.340913,-0.716735,234.38,0.178214,12.8723,0.7099
395,0.000201,0.078059,642.76,783.90,1218.75,0.321405,0.062745,-0.479479,1.068398,0.822336,-0.166441,-0.515415,-0.729397,234.38,0.190011,18.0898,0.7144
400,0.000120,0.112911,714.62,833.64,1453.12,0.386490,0.207843,-1.106218,0.999987,0.962896,0.067930,-0.442753,-0.481843,234.38,0.146528,15.2786,0.6009

----- END /raw_noise_C4_r01_50748.csv -----
----- BEGIN /raw_noise_C4_r02_57041.csv (17484 bytes) -----
#BEGIN {"ver":4,"type":"keypress","mode":"noise","key":"C4","rep":2,"fs_hz":48000,"hop":256,"n_fft":1024,"fmin":50.0,"fmax":3500.0,"pre_ms":60,"lead_ms":150,"post_ms":400,"stored_pre_ms":210,"ms_per_frame":5.33333,"t_ms":57041}
ms_from_event,rms,flux,centroid_hz,spread_hz,rolloff85_hz,flatness,zcr,band0,band1,band2,band3,band4,band5,peak_hz,peak_mag,peak_ratio,low_dom
-208,0.000485,0.073328,475.49,594.09,937.50,0.217333,0.039216,0.752756,0.944350,0.410809,0.071644,-0.616112,-1.563447,93.75,0.306081,14.6614,0.8742
-203,0.000555,0.193271,466.86,582.56,937.50,0.213870,0.109804,0.711483,0.961689,0.572441,-0.034608,-0.609568,-1.601437,93.75,0.318179,13.1883,0.8746
-197,0.000483,0.064604,469.59,610.52,890.62,0.233364,0.019608,0.813786,0.928707,0.474024,-0.022109,-0.739355,-1.455054,93.75,0.327983,14.8478,0.8774
-192,0.000661,0.088114,496.92,624.49,937.50,0.250395,0.035294,0.766230,0.880901,0.462159,0.023831,-0.707034,-1.426088,93.75,0.317730,14.5338,0.8688
-187,0.000539,0.101874,485.44,625.12,890.62,0.240095,0.027451,0.793732,0.863072,0.513933,0.153710,-1.003695,-1.320751,93.75,0.320437,14.1674,0.8798
-181,0.000431,0.027203,478.68,630.31,843.75,0.242967,0.058824,0.859172,0.912825,0.593925,0.064782,-1.194567,-1.236137,93.75,0.305723,15.3675,0.8910
-176,0.000412,0.115833,477.43,615.62,796.88,0.237720,0.019608,0.793710,0.883187,0.554794,0.179578,-1.171420,-1.239849,93.75,0.283726,13.7123,0.8853
-171,0.000363,0.075366,510.46,634.37,796.88,0.261896,0.054902,0.694642,0.798018,0.469998,0.229601,-0.895708,-1.296552,93.75,0.247022,13.5801,0.8632
-165,0.000369,0.157558,541.34,625.81,843.75,0.261573,0.027451,0.526334,0.623099,0.520189,0.497307,-0.843628,-1.323300,93.75,0.206783,11.0428,0.8400
-160,0.000212,0.049159,611.52,712.69,1031.25,0.325733,0.043137,0.393943,0.557971,0.386856,0.438496,-0.725034,-1.052233,93.75,0.165518,10.7972,0.7965
-155,0.000211,0.146371,613.01,679.43,1031.25,0.306773,0.094118,0.262884,0.432413,0.501378,0.512787,-0.539330,-1.170131,93.75,0.132915,8.6197,0.7689
-149,0.000177,0.077947,632.50,716.44,1078.12,0.327110,0.121569,0.138587,0.590298,0.481705,0.395569,-0.571068,-1.035090,93.75,0.095854,8.3436,0.7627
-144,0.000165,0.144491,664.25,723.14,1078.12,0.356472,0.145098,-0.075250,0.505546,0.606844,0.462104,-0.630764,-0.868481,93.75,0.070702,6.5911,0.7241
-139,0.000213,0.083022,747.72,782.20,1218.75,0.418970,0.090196,-0.129408,0.285170,0.507974,0.596318,-0.614607,-0.645448,140.62,0.054942,5.9964,0.6699
-133,0.000204,0.275438,704.99,733.29,1031.25,0.363864,0.094118,-0.476466,0.504218,0.610411,0.798116,-0.750354,-0.685923,656.25,0.064086,5.9598,0.6752
