key_idx,key,windows_total,windows_used,c1_hz,c1_spread_hz,c1_count,c2_hz,c2_spread_hz,c2_count,c3_hz,c3_spread_hz,c3_count,centroid_med,bandwidth_med,rolloff85_med,flatness_med,band1_med,band2_med,band3_med,band4_med,band5_med,band6_med
0,A0,124,73,121.892,1.598,64,165.700,1.777,65,820.522,2.885,17,914.530,955.380,1787.260,0.418252,0.045096,0.137907,0.203805,0.152519,0.212544,0.240233
1,A#0,124,119,369.046,2.300,93,121.456,10.023,196,178.615,19.179,199,955.200,1014.870,2051.040,0.474761,0.067577,0.151514,0.196248,0.168132,0.123872,0.273003
2,B0,124,124,229.573,11.231,196,844.620,4.941,46,337.640,5.796,121,717.435,785.235,1321.600,0.340133,0.063236,0.085121,0.193434,0.273112,0.185940,0.156233
3,C1,124,124,827.514,23.809,93,192.428,2.405,100,94.249,0.809,108,678.930,787.105,1243.540,0.331939,0.061474,0.153272,0.198940,0.222119,0.163985,0.140633
4,C#1,124,124,91.076,2.086,115,242.416,1.500,106,871.711,2.471,62,688.800,811.290,1361.975,0.337618,0.068253,0.165690,0.186917,0.211023,0.177130,0.162803
5,D1,124,124,126.242,6.276,179,153.449,4.369,150,103.884,2.037,121,704.495,810.175,1351.210,0.356773,0.087077,0.203464,0.169040,0.187178,0.182116,0.161013
6,D#1,124,119,159.564,30.035,385,272.963,3.619,96,229.902,3.457,100,924.340,935.040,1878.770,0.444958,0.051111,0.108932,0.240018,0.136819,0.157852,0.232056
7,E1,124,124,49.732,0.815,108,95.794,0.728,101,135.352,4.184,109,717.835,769.430,1313.530,0.331088,0.085001,0.147390,0.141725,0.185716,0.292728,0.156357
8,F1,124,97,117.663,10.558,143,352.450,7.660,90,268.942,1.613,51,820.760,919.980,1684.970,0.404649,0.037347,0.120241,0.211425,0.225348,0.148263,0.214990
9,F#1,124,124,250.291,1.010,111,168.042,3.426,124,526.272,6.156,119,756.850,737.365,1394.270,0.314924,0.025907,0.098791,0.235395,0.230180,0.241687,0.172428
10,G1,124,124,102.996,2.618,114,229.848,7.038,130,131.013,2.096,112,719.195,769.245,1278.535,0.329796,0.026702,0.154769,0.244599,0.189552,0.226373,0.149791
11,G#1,123,123,124.753,2.827,114,157.928,1.865,109,486.159,0.971,89,800.290,827.840,1491.170,0.363024,0.063433,0.120833,0.165863,0.198239,0.217393,0.199414
12,A1,124,124,247.041,2.387,124,194.995,3.194,127,146.569,6.084,138,722.215,824.860,1356.590,0.328681,0.074816,0.120300,0.259403,0.187829,0.169665,0.165282
13,A#1,124,124,140.057,0.906,103,79.119,1.233,104,301.744,3.567,123,708.035,856.305,1440.030,0.348244,0.066939,0.192914,0.239649,0.160242,0.155434,0.175070
14,B1,124,123,98.946,1.095,111,339.293,3.047,91,142.978,3.206,116,672.580,817.950,1378.130,0.319492,0.061952,0.206718,0.161415,0.230254,0.159346,0.160948
15,C2,124,124,121.453,2.950,125,81.025,3.314,135,165.245,4.323,133,687.035,812.320,1375.435,0.313619,0.059263,0.215834,0.181141,0.193045,0.161651,0.161590
16,C#2,124,124,100.916,7.137,162,254.460,6.900,165,156.402,4.362,130,718.570,803.315,1383.510,0.297508,0.079071,0.175154,0.200931,0.174281,0.194977,0.173207
17,D2,124,124,334.527,9.667,125,309.307,3.316,130,131.364,1.921,81,719.310,828.540,1418.500,0.355687,0.069646,0.119591,0.230935,0.232713,0.157847,0.175130
18,D#2,124,123,198.939,7.899,151,239.717,2.974,117,930.972,0.701,68,792.050,784.070,1469.640,0.330836,0.032507,0.060989,0.239975,0.213577,0.241548,0.195526
19,E2,124,124,243.436,3.588,112,194.819,5.251,134,106.671,3.067,109,795.075,827.975,1520.780,0.364743,0.078558,0.115198,0.201279,0.152555,0.227385,0.190829
20,F2,124,124,499.891,1.520,100,67.842,0.292,79,137.144,1.164,81,859.075,787.980,1547.700,0.383544,0.055206,0.064117,0.101146,0.294840,0.272299,0.196997
21,F#2,124,124,344.416,2.843,133,258.181,2.427,124,170.891,4.519,136,714.160,738.935,1415.810,0.216960,0.010572,0.055680,0.297460,0.258525,0.167934,0.168491
22,G2,124,124,311.853,1.747,118,225.576,2.245,115,269.120,1.687,110,807.430,830.275,1550.390,0.340774,0.042541,0.063247,0.273352,0.219126,0.199017,0.189005
23,G#2,124,124,123.129,1.813,108,161.097,3.207,114,245.407,3.060,99,787.700,830.680,1458.870,0.360394,0.058476,0.119398,0.203718,0.243392,0.180186,0.196767
24,A2,124,124,331.360,2.251,115,148.455,6.149,138,308.351,1.450,73,761.335,815.710,1491.170,0.344931,0.081046,0.111864,0.197170,0.246220,0.181528,0.188685
25,A#2,124,124,79.717,2.372,124,166.784,7.902,144,122.609,1.693,124,784.170,903.400,1687.665,0.354853,0.081210,0.199149,0.183035,0.145769,0.144304,0.235390
26,B2,124,124,248.750,3.324,131,350.414,5.885,147,100.401,1.870,114,753.895,821.350,1614.990,0.345637,0.039767,0.133734,0.234387,0.197427,0.152201,0.209501
27,C3,124,124,125.109,2.527,120,82.777,1.384,109,168.229,3.050,126,711.165,861.935,1550.390,0.274464,0.037750,0.236853,0.208119,0.180514,0.142561,0.184368
28,C#3,124,124,260.700,2.094,117,150.845,2.370,124,790.232,3.215,103,768.980,774.465,1483.100,0.298527,0.024875,0.097571,0.249239,0.183779,0.223881,0.180834
29,D3,124,124,314.332,1.170,111,228.382,4.676,133,272.110,5.405,138,788.190,870.790,1604.220,0.308386,0.039275,0.070156,0.314938,0.203878,0.148181,0.191223
30,D#3,124,124,312.537,11.981,223,280.711,1.402,113,444.410,1.610,113,768.385,784.975,1469.640,0.333711,0.022938,0.052479,0.257328,0.292465,0.186753,0.180070
31,E3,124,124,195.609,7.539,150,109.876,2.075,110,151.367,3.107,116,804.320,871.200,1660.750,0.346536,0.056516,0.174194,0.207690,0.136676,0.240774,0.198543
32,F3,124,124,140.931,2.945,126,226.378,3.445,124,365.823,2.669,80,778.335,870.925,1633.830,0.357945,0.063803,0.207148,0.186300,0.174668,0.168103,0.197540
33,F#3,124,124,174.674,1.214,112,352.687,2.031,108,526.951,1.015,110,994.260,843.400,1851.855,0.389825,0.019040,0.020260,0.164823,0.197751,0.346457,0.245571
34,G3,124,123,338.152,2.987,121,547.085,4.305,140,423.818,1.978,99,839.270,807.350,1534.240,0.348943,0.022844,0.040615,0.114843,0.433828,0.180441,0.192154
35,G#3,124,122,164.018,4.643,123,208.052,2.590,125,250.064,2.458,118,882.530,878.795,1744.190,0.401366,0.027338,0.051723,0.223858,0.255493,0.192077,0.234983
36,A3,124,123,201.517,6.423,154,444.762,4.203,112,359.410,3.529,101,820.470,836.580,1593.460,0.345234,0.024935,0.054634,0.244968,0.255726,0.190256,0.206690
37,A#3,124,117,446.427,3.933,129,202.427,3.785,123,648.805,4.423,137,823.650,801.940,1550.390,0.354121,0.024424,0.046533,0.196337,0.300252,0.237835,0.185662
38,B3,124,123,248.845,2.471,130,205.911,8.557,168,454.082,6.071,107,763.920,865.290,1566.540,0.365381,0.034522,0.056144,0.367833,0.188861,0.156307,0.186587
39,C4,124,124,209.132,3.802,131,294.340,1.069,109,502.101,1.597,105,867.115,877.020,1749.575,0.359945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,C#4,124,124,259.166,5.149,134,519.814,1.678,114,781.663,2.275,112,933.530,891.790,1846.470,0.306159,0.023939,0.028012,0.243413,0.208072,0.156602,0.274043
41,D4,124,122,533.265,5.081,141,308.457,3.098,120,223.498,4.095,131,844.340,827.040,1596.150,0.354975,0.032380,0.044760,0.255716,0.303116,0.175849,0.196810
42,D#4,124,119,287.070,2.884,115,613.999,4.949,132,329.819,2.974,101,874.730,817.980,1604.220,0.353593,0.018231,0.028933,0.188967,0.319504,0.216439,0.193470
43,E4,124,123,304.125,4.877,123,345.556,3.237,112,260.043,2.864,112,901.580,823.900,1609.610,0.352272,0.017630,0.038863,0.259713,0.191385,0.253602,0.223852
44,F4,124,124,360.291,11.119,223,646.324,8.208,170,280.146,3.670,120,869.490,815.380,1606.915,0.377167,0.021510,0.031777,0.158253,0.302229,0.280468,0.196666
45,F#4,124,121,341.658,6.931,164,686.751,8.734,187,1032.506,11.817,181,1052.520,905.630,1894.920,0.387258,0.030685,0.037239,0.066272,0.244674,0.260602,0.305966
46,G4,124,121,741.186,20.576,119,336.255,2.483,116,381.733,3.239,103,1078.980,890.270,2191.000,0.453949,0.025869,0.038029,0.088352,0.280430,0.251073,0.289220
47,G#4,124,122,768.306,10.661,193,401.384,4.830,132,361.193,4.357,129,935.235,855.245,1701.120,0.368064,0.018172,0.031684,0.088666,0.379674,0.246186,0.227557
48,A4,124,124,447.597,6.021,139,363.192,6.375,150,1217.294,13.958,113,967.670,893.670,1830.320,0.404429,0.024338,0.035230,0.087287,0.372006,0.204462,0.245012
49,A#4,124,119,455.906,9.833,241,382.681,1.075,111,896.686,6.945,126,949.170,850.730,1792.640,0.397071,0.027020,0.038381,0.084079,0.399503,0.221231,0.236543
50,B4,124,124,473.984,21.572,238,965.098,4.277,126,417.607,5.081,125,986.385,865.285,1851.860,0.398883,0.021640,0.031643,0.053581,0.349363,0.270689,0.238123
51,C5,124,119,509.083,2.787,121,465.588,4.726,128,425.339,4.222,126,954.130,885.910,1927.220,0.397067,0.028698,0.033023,0.068381,0.418347,0.177452,0.240930
52,C#5,124,122,527.613,3.498,128,444.912,3.464,118,1057.868,4.233,101,984.905,869.670,1935.295,0.378616,0.022115,0.032861,0.054209,0.466858,0.149884,0.242798
53,D5,124,122,541.634,21.033,249,599.850,3.059,122,429.176,2.624,107,988.630,864.655,1919.150,0.337415,0.019558,0.026643,0.050961,0.453578,0.184060,0.228899
54,D#5,124,124,582.059,34.884,349,1176.621,21.158,198,449.833,1.595,105,1113.200,849.055,1894.920,0.394056,0.022999,0.035064,0.053639,0.314358,0.280643,0.271377
55,E5,123,92,650.862,10.568,167,572.213,9.807,121,614.261,5.398,78,1044.330,888.760,1892.235,0.432673,0.023359,0.034100,0.059522,0.262615,0.361582,0.246389
56,F5,124,110,663.333,3.904,100,620.163,2.238,96,703.780,2.455,89,1107.825,895.675,2037.580,0.401528,0.026742,0.045970,0.068127,0.169187,0.352169,0.320737
57,F#5,123,93,706.399,3.333,90,1392.593,39.303,166,623.291,1.976,73,1206.670,955.930,2271.750,0.460451,0.031528,0.057840,0.049836,0.107194,0.363451,0.367503
58,G5,124,94,725.098,7.660,142,771.746,17.042,175,682.529,7.005,121,1052.150,871.875,1905.690,0.411378,0.032249,0.045199,0.065174,0.119171,0.493321,0.242912
59,G#5,123,74,788.639,2.142,67,704.864,2.417,60,1587.694,6.270,58,1098.940,835.120,1913.765,0.395811,0.026959,0.037224,0.043986,0.082872,0.503221,0.284018
60,A5,123,65,816.719,34.486,267,887.625,6.096,26,933.566,8.526,44,1069.200,797.840,1722.660,0.390055,0.018996,0.040633,0.053822,0.086297,0.568933,0.226284
61,A#5,123,85,892.178,6.731,110,827.129,22.413,183,979.509,5.994,86,1189.670,817.460,1878.770,0.409061,0.022644,0.049430,0.059001,0.075834,0.510028,0.284765
62,B5,123,96,921.760,39.830,410,1841.526,9.106,35,1029.131,5.296,61,1207.885,852.805,1943.370,0.447461,0.027665,0.041770,0.059011,0.069878,0.504247,0.296303
63,C6,123,79,992.569,21.600,166,935.917,5.557,83,1104.305,4.972,42,1278.050,950.310,2341.740,0.477669,0.041075,0.058058,0.069596,0.060170,0.419974,0.340117
64,C#6,123,65,1050.144,17.030,123,974.834,11.104,62,1124.652,18.343,53,1211.060,927.280,2115.640,0.454647,0.040779,0.063172,0.084155,0.065345,0.429694,0.292336
65,D6,123,98,1097.287,38.289,359,967.555,3.099,65,196.518,10.795,54,1306.065,868.950,2091.410,0.427257,0.026086,0.038429,0.066377,0.060872,0.509730,0.300746
66,D#6,123,63,1166.910,33.029,222,1290.974,5.234,49,85.992,0.904,17,1304.440,840.810,2244.840,0.415255,0.032640,0.049887,0.062977,0.052619,0.505745,0.308017
67,E6,123,91,1244.234,43.465,397,177.172,3.022,22,252.306,4.386,25,1364.100,896.490,2352.500,0.485790,0.031028,0.054190,0.056586,0.051528,0.406346,0.392899
68,F6,123,71,1320.741,41.613,360,213.254,8.114,27,58.271,0.643,12,1381.990,887.530,2228.690,0.484686,0.039368,0.051456,0.070943,0.049058,0.179694,0.567706
69,F#6,123,65,1395.287,42.516,303,1511.213,3.264,21,1261.185,6.686,13,1404.300,893.310,2304.050,0.499490,0.042768,0.054293,0.066247,0.053662,0.149869,0.614163
70,G6,123,60,1476.453,48.693,321,157.544,1.001,12,1330.262,0.649,15,1466.765,846.745,2024.120,0.463516,0.030610,0.047803,0.079269,0.056498,0.128656,0.641215
71,G#6,123,74,1573.234,40.075,314,1441.377,13.333,75,1694.721,7.028,60,1539.310,782.925,2121.020,0.444585,0.022201,0.026961,0.035075,0.040970,0.107522,0.735120
72,A6,123,49,1670.236,42.180,134,122.084,5.660,50,170.260,5.027,26,1271.790,955.540,2164.090,0.501593,0.045134,0.088700,0.098530,0.092237,0.111623,0.488258
73,A#6,123,55,1749.930,32.636,164,131.082,8.136,73,111.597,0.622,13,1322.500,918.920,2077.950,0.447983,0.048609,0.111636,0.130321,0.071559,0.093039,0.544357
74,B6,123,94,1862.180,38.364,186,1762.826,3.940,34,127.056,10.296,133,1081.670,1075.640,2242.145,0.472652,0.069241,0.165516,0.157657,0.085053,0.090676,0.371067
75,C7,123,59,1960.959,41.755,213,1849.245,1.427,29,124.435,8.965,56,1500.950,951.890,2212.540,0.495884,0.045483,0.097213,0.086139,0.069658,0.103806,0.610815
76,C#7,123,52,2083.681,33.464,172,145.104,4.597,25,88.413,2.268,19,1443.870,989.340,2234.070,0.462940,0.059857,0.118833,0.082163,0.092499,0.100464,0.568370
77,D7,123,54,2233.377,47.259,172,166.185,9.296,63,118.558,4.026,61,1443.350,1052.370,2427.870,0.543115,0.040847,0.086817,0.132481,0.081669,0.103159,0.539424
78,D#7,123,53,2379.153,35.417,156,115.448,1.593,46,2501.375,9.139,17,1511.250,1067.820,2551.680,0.517098,0.040858,0.134040,0.104120,0.071325,0.103058,0.568303
79,E7,123,47,2524.760,35.226,67,165.608,10.276,84,329.737,2.265,14,1339.530,1134.740,2610.900,0.582524,0.052652,0.111208,0.164120,0.105778,0.116738,0.461955
80,F7,123,51,2621.747,59.304,105,199.848,1.678,46,114.733,2.130,38,1256.950,1153.910,2707.800,0.567114,0.061840,0.117033,0.144146,0.090967,0.114040,0.427783
81,F#7,123,86,2799.994,31.948,87,2931.944,32.698,43,124.047,9.250,145,1147.405,1178.895,2777.785,0.556526,0.059363,0.149722,0.200351,0.103388,0.110102,0.347548
82,G7,123,56,3123.144,62.556,113,180.420,19.210,116,117.808,6.468,77,1205.220,1188.185,2960.820,0.572054,0.053260,0.150184,0.183972,0.085168,0.108587,0.383412
83,G#7,123,46,3197.761,30.966,42,117.433,4.793,58,3015.084,42.078,43,1268.090,1213.315,3033.490,0.559414,0.049457,0.188020,0.129169,0.070495,0.098064,0.416022
84,A7,123,58,3270.630,56.565,77,116.767,3.539,62,172.945,7.015,62,1131.160,1180.620,2745.485,0.561134,0.050878,0.166858,0.180733,0.108974,0.113132,0.354750
