----- BEGIN /raw_seg_silence_15s_10798.csv (430635 bytes) -----
#BEGIN {"ver":4,"type":"segment","mode":"silence","key":"-","rep":0,"fs_hz":48000,"hop":256,"n_fft":1024,"fmin":50.0,"fmax":3500.0,"pre_ms":60,"lead_ms":150,"post_ms":400,"stored_pre_ms":210,"ms_per_frame":5.33333,"t_ms":10798}
ms_from_event,rms,flux,centroid_hz,spread_hz,rolloff85_hz,flatness,zcr,band0,band1,band2,band3,band4,band5,peak_hz,peak_mag,peak_ratio,low_dom
0,0.000087,0.144565,1060.94,1027.11,2578.12,0.563273,0.117647,-0.797745,-0.246884,1.059006,-0.265303,-0.076985,0.327910,375.00,0.044815,12.8098,0.3435
5,0.000085,0.214853,1156.50,1066.09,2625.00,0.608792,0.227451,-0.826229,-0.082083,0.906751,-0.385232,-0.070167,0.456959,328.12,0.046716,12.9072,0.3435
11,0.000088,0.263006,1108.16,1063.08,2578.12,0.561966,0.164706,-1.240379,0.403822,0.968410,-0.365766,-0.283527,0.517440,328.12,0.049336,12.0300,0.3693
16,0.000074,0.195955,1110.40,1057.81,2437.50,0.578574,0.160784,-0.704043,0.171931,0.818877,-0.420120,-0.313614,0.446968,328.12,0.044177,11.1108,0.4176
21,0.000076,0.238804,1150.08,1056.36,2531.25,0.547068,0.215686,-0.619113,0.029116,0.852110,-0.444009,-0.281298,0.463192,375.00,0.041070,9.9685,0.4047
27,0.000082,0.151110,1200.09,1066.77,2671.88,0.597871,0.192157,-0.712994,-0.267506,0.832220,-0.125637,-0.270544,0.544460,375.00,0.039655,10.5005,0.3481
32,0.000088,0.223369,1250.83,1112.57,2859.38,0.652664,0.117647,-0.920740,-0.307840,0.821611,-0.061239,-0.143034,0.611242,375.00,0.039141,10.4383,0.2998
37,0.000074,0.208443,1193.32,1093.08,2812.50,0.641981,0.231373,-0.756867,-0.422123,0.911358,-0.157642,-0.107204,0.532478,375.00,0.046356,11.7531,0.3096
43,0.000092,0.128630,1207.29,1056.89,2671.88,0.625538,0.141176,-0.883981,-0.691956,1.007263,-0.077980,-0.031417,0.678072,375.00,0.044948,11.8905,0.2476
48,0.000080,0.264742,1049.43,1013.78,2484.38,0.556501,0.211765,-1.145570,0.182129,1.019506,-0.159588,-0.272999,0.376521,328.12,0.045203,12.4354,0.3697
53,0.000076,0.190589,1056.80,1053.27,2484.38,0.597477,0.223529,-0.867080,0.231031,0.944096,-0.447748,-0.163933,0.303634,328.12,0.046025,11.5677,0.4042
59,0.000054,0.174771,1121.02,1053.85,2437.50,0.577571,0.345098,-0.797483,-0.042072,0.830641,-0.359145,-0.016874,0.384936,375.00,0.038701,10.1767,0.3535
64,0.000072,0.139201,1202.05,1034.91,2578.12,0.594750,0.219608,-1.573269,-0.279246,0.995078,0.193707,0.074571,0.589162,375.00,0.031823,11.1194,0.2213
69,0.000063,0.176184,1260.11,1077.88,2859.38,0.615905,0.282353,-1.983052,-0.558553,1.188596,0.472424,0.074704,0.805883,375.00,0.028749,9.8456,0.1530
75,0.000071,0.220241,1278.51,1041.43,2671.88,0.655823,0.196078,-1.419199,-0.448457,0.912149,0.164851,0.136296,0.654358,421.88,0.029405,10.0226,0.2093
80,0.000081,0.186194,1205.88,1062.75,2765.62,0.646061,0.219608,-0.928557,-0.258291,0.882940,-0.084415,-0.084882,0.473206,375.00,0.029466,9.4189,0.3127
85,0.000076,0.295541,1145.50,1069.33,2625.00,0.592186,0.200000,-1.082143,-0.074035,1.057663,-0.112937,-0.367664,0.579115,375.00,0.037639,10.7241,0.3354
91,0.000076,0.190702,1204.61,1082.79,2625.00,0.629571,0.196078,-1.451555,-0.067979,0.980275,0.032831,-0.142585,0.649015,328.12,0.037703,11.1116,0.2664
