N,label,acc,total
1,a0,0.845,200
1,a1,1.0,200
1,a3,1.0,200
1,c1,0.62,50
1,c3,1.0,250
1,c4,0.996,250
1,c5,1.0,250
1,d#3,1.0,200
1,e4,1.0,100
1,f#3,1.0,200
1,f1,0.98,100
1,g4,1.0,200
2,a0,0.935,200
2,a1,1.0,200
2,a3,1.0,200
2,c1,0.88,50
2,c3,1.0,250
2,c4,1.0,250
2,c5,1.0,250
2,d#3,1.0,200
2,e4,1.0,100
2,f#3,1.0,200
2,f1,1.0,100
2,g4,1.0,200
3,a0,0.935,200
3,a1,1.0,200
3,a3,1.0,200
3,c1,0.94,50
3,c3,1.0,250
3,c4,1.0,250
3,c5,1.0,250
3,d#3,1.0,200
3,e4,1.0,100
3,f#3,1.0,200
3,f1,1.0,100
3,g4,1.0,200
5,a0,0.94,200
5,a1,1.0,200
5,a3,1.0,200
5,c1,0.98,50
5,c3,1.0,250
5,c4,1.0,250
5,c5,1.0,250
5,d#3,1.0,200
5,e4,1.0,100
5,f#3,1.0,200
5,f1,1.0,100
5,g4,1.0,200
7,a0,0.945,200
7,a1,1.0,200
7,a3,1.0,200
7,c1,1.0,50
7,c3,1.0,250
7,c4,1.0,250
7,c5,1.0,250
7,d#3,1.0,200
7,e4,1.0,100
7,f#3,1.0,200
7,f1,1.0,100
7,g4,1.0,200
9,a0,0.955,200
9,a1,1.0,200
9,a3,1.0,200
9,c1,1.0,50
9,c3,1.0,250
9,c4,1.0,250
9,c5,1.0,250
9,d#3,1.0,200
9,e4,1.0,100
9,f#3,1.0,200
9,f1,1.0,100
9,g4,1.0,200
12,a0,0.955,200
12,a1,1.0,200
12,a3,1.0,200
12,c1,1.0,50
12,c3,1.0,250
12,c4,1.0,250
12,c5,1.0,250
12,d#3,1.0,200
12,e4,1.0,100
12,f#3,1.0,200
12,f1,1.0,100
12,g4,1.0,200
15,a0,0.985,200
15,a1,1.0,200
15,a3,1.0,200
15,c1,1.0,50
15,c3,1.0,250
15,c4,1.0,250
15,c5,1.0,250
15,d#3,1.0,200
15,e4,1.0,100
15,f#3,1.0,200
15,f1,1.0,100
15,g4,1.0,200
