--- Terminal on COM3 | 921600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇÔÉÇ´┐¢´┐¢´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇÔÉÇ´┐¢´┐¢´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢ÔÉÇ´┐¢´┐¢ÔÉÇÔÉÇ´┐¢ÔÉÇ
Piano calibration (48kHz) - ENTER starts capture.
BUILD_TAG=cal_v7_shift12_logspec_autoshift

FS=48000 N=4096 HOP=256 rows/secÔëê187.50
Models JSON: /models.json
Noise JSON:  /noise.json

Commands:
  <ENTER>            start recording current key
  start <idx>        jump to key index (0..84)
  start <label>      jump to key label (e.g. start G#1)
  redo               redo last recorded key (overwrite in /models.json)
  redo prev          redo key before last recorded
  noise              record 10s silence -> /noise.json
  noise show         show if /noise.json exists
  help               show this help

NEXT: key_idx=0 label=A0 ÔÇö press ENTER to record (or type help)
OK: start at key_idx=41 label=D4

NEXT: key_idx=41 label=D4 ÔÇö press ENTER to record (or type help)
CAP_BEGIN {"type":"CAP_BEGIN","key_idx":41,"key":"D4","fs":48000,"n":4096,"hop":256,"ms":10500,"peaks":8,"fmin":20.0,"fmax":4000.0,"resp_ms_init":200,"settle_ms":200,"shift_right_init":12,"spec_total":"log10(power/N+1)"}
INSTRUCTIONS:
  - Keep room silent for 1s.
  - Then PRESS+HOLD when told (3 times), with releases in between.
  - After final press, let it ring (tail).
  - Do NOT touch other keys.

SILENCE (1s)...
PRESS + HOLD (2s)...
RELEASE (1s)...
PRESS + HOLD (2s)...
RELEASE (1s)...
PRESS + HOLD (2s)...
CSV_BEGIN
type,t_ms,key_idx,key,cap_phase,rms_ac,ac_peak,zc,min,max,spec_total_log10,centroid_hz,bandwidth_hz,rolloff85_hz,flatness,band1_20_80,band2_80_200,band3_200_500,band4_500_1280,band5_1280_2500,band6_2500_4000,p1_hz,p1_mag,p2_hz,p2_mag,p3_hz,p3_mag,p4_hz,p4_mag,p5_hz,p5_mag,p6_hz,p6_mag,p7_hz,p7_mag,p8_hz,p8_mag
CAL_WIN,0,41,D4,0,71.561,223.731,313.0,-153.0,227.0,6.740,1307.98,1283.02,3035.16,0.637550,200043.062,118841.789,132926.172,139415.922,188956.094,246109.547,175.78,14703.561,328.12,11452.332,363.28,11399.603,152.34,10791.291,398.44,9729.646,210.94,8345.445,468.75,6671.939,2671.88,5221.726
CAL_WIN,25,41,D4,0,76.125,212.218,365.0,-153.0,227.0,6.664,1317.92,1284.26,3070.31,0.629931,174256.328,130238.641,141789.406,133396.687,183725.891,246207.031,175.78,16769.158,363.28,11451.336,328.12,10668.085,398.44,10472.576,210.94,9391.306,234.37,8688.962,433.59,6280.007,281.25,5862.742
CAL_WIN,44,41,D4,0,80.416,222.072,480.0,-176.0,227.0,6.578,1290.16,1269.26,3023.44,0.629733,152455.062,136106.687,183455.031,134431.500,181867.750,244418.891,175.78,18681.354,234.37,13116.674,363.28,12178.916,328.12,11656.177,210.94,11110.745,398.44,10454.046,281.25,7552.898,257.81,7394.586
CAL_WIN,63,41,D4,0,93.448,282.670,482.0,-247.0,227.0,6.484,1265.25,1250.59,2941.41,0.630675,129534.547,132829.266,233625.109,138595.203,182533.656,242040.766,175.78,20310.633,234.37,18007.150,328.12,13426.653,363.28,13355.189,257.81,11482.192,398.44,10376.240,281.25,10341.671,304.69,9782.758
CAL_WIN,81,41,D4,0,98.629,275.242,399.0,-247.0,227.0,6.405,1247.68,1231.51,2906.25,0.624209,103616.969,123014.711,284270.031,146012.703,182933.266,238215.125,234.37,22955.615,175.78,21686.402,128.91,15923.327,328.12,14899.371,363.28,14217.959,304.69,12361.259,410.16,10621.394,457.03,7352.712
CAL_WIN,100,41,D4,0,99.763,268.740,343.0,-247.0,227.0,6.388,1235.06,1215.94,2882.81,0.621874,85283.172,110458.328,324292.938,155537.844,183199.062,234816.516,234.37,27314.473,175.78,22564.455,328.12,15568.901,128.91,14922.997,304.69,14338.526,363.28,14049.813,410.16,10512.202,457.03,7925.329
CAL_WIN,119,41,D4,0,95.956,260.846,405.0,-247.0,227.0,6.473,1178.11,1201.13,2777.34,0.595859,110461.922,109811.977,345174.938,163886.703,184536.656,229103.797,234.37,30191.662,175.78,22723.102,316.41,15881.425,351.56,14976.270,128.91,14129.003,398.44,9982.135,421.87,9285.870,457.03,8439.383
CAL_WIN,138,41,D4,0,88.869,252.381,429.0,-247.0,227.0,6.621,1107.35,1188.20,2718.75,0.564868,164013.500,121824.086,344588.625,167142.141,186992.578,224437.391,234.37,31108.318,281.25,22905.475,175.78,21993.795,316.41,17171.453,351.56,15181.200,128.91,13571.773,386.72,9788.924,421.87,9008.997
CAL_WIN,156,41,D4,0,89.547,252.770,430.0,-247.0,230.0,6.761,1060.49,1182.52,2671.88,0.539969,215621.578,137833.172,326004.000,166386.766,188653.016,223589.391,234.37,29494.408,281.25,23899.162,175.78,20732.393,316.41,18185.437,351.56,14299.482,128.91,13586.597,386.72,9553.048,468.75,9311.477
CAL_WIN,175,41,D4,0,87.535,251.247,428.0,-247.0,230.0,6.867,1036.98,1181.55,2648.44,0.537668,256456.719,150459.844,299434.438,164996.906,191448.250,224239.953,222.66,27655.244,292.97,24520.426,316.41,19210.939,175.78,19117.330,128.91,14972.948,351.56,12987.815,468.75,11168.912,386.72,8709.380
CAL_WIN,194,41,D4,0,83.994,246.633,444.0,-247.0,230.0,6.943,1022.09,1178.32,2613.28,0.538112,285020.469,158925.875,279760.375,166556.266,194770.234,223555.109,222.66,26409.607,292.97,25657.195,246.09,21337.805,316.41,20431.293,164.06,18182.018,128.91,17633.707,468.75,12608.321,351.56,11890.630
CAL_WIN,213,41,D4,0,82.394,238.668,415.0,-247.0,230.0,7.005,1011.58,1174.42,2589.84,0.529630,305066.438,165149.969,271322.781,171356.141,196873.250,223950.500,292.97,25438.910,222.66,25043.199,316.41,21871.977,128.91,21180.492,164.06,20172.857,246.09,17125.322,468.75,13555.561,351.56,11422.070
CAL_WIN,231,41,D4,0,87.087,248.913,357.0,-247.0,230.0,7.074,1002.83,1172.65,2589.84,0.511700,323720.844,175923.734,267549.750,179182.437,198532.609,227878.547,128.91,24338.691,292.97,23640.893,316.41,23104.428,222.66,23050.799,164.06,21360.797,468.75,13872.565,246.09,12938.051,351.56,11350.453
CAL_WIN,250,41,D4,0,87.925,256.312,365.0,-247.0,230.0,7.157,977.71,1168.70,2578.13,0.500755,369157.688,196696.187,270886.000,192793.437,203917.328,236422.875,128.91,26957.531,316.41,23641.408,164.06,22032.949,222.66,20227.186,468.75,13380.781,398.44,11709.038,351.56,11367.045,246.09,10060.561
CAL_WIN,269,41,D4,0,87.379,259.405,404.0,-247.0,230.0,7.243,954.18,1164.11,2542.97,0.503258,427617.969,218498.672,276831.125,216711.328,212977.922,249495.219,128.91,29431.031,304.69,24726.418,210.94,23356.064,164.06,22293.404,398.44,13306.022,468.75,12222.217,363.28,11973.480,246.09,9003.013
CAL_WIN,288,41,D4,0,87.216,259.947,417.0,-247.0,230.0,7.314,942.50,1159.61,2507.81,0.509502,472726.906,238322.984,279718.063,243621.656,225700.312,261814.156,128.91,31340.082,210.94,26579.811,304.69,24598.316,164.06,22429.084,398.44,14636.633,363.28,13675.005,269.53,11766.671,468.75,10564.547
CAL_WIN,307,41,D4,0,88.283,255.370,381.0,-247.0,230.0,7.358,944.16,1158.44,2507.81,0.509080,495053.875,248970.344,276166.844,267346.531,236874.531,270680.281,128.91,32339.467,210.94,28001.562,304.69,23545.449,164.06,22901.844,363.28,15215.194,398.44,15213.916,269.53,13395.878,246.09,12367.580
CAL_WIN,325,41,D4,0,96.605,242.887,321.0,-247.0,230.0,7.371,959.40,1160.20,2519.53,0.524064,491399.438,247088.922,268634.625,285992.625,246058.062,276063.000,128.91,32712.967,210.94,28377.736,164.06,23203.285,304.69,22953.576,257.81,17334.529,363.28,16500.883,398.44,15384.407,585.94,11489.097
CAL_WIN,344,41,D4,0,97.845,246.019,311.0,-247.0,230.0,7.354,977.70,1161.20,2542.97,0.538394,463984.281,236989.266,270595.500,296205.125,250214.062,277186.531,128.91,32629.605,210.94,27757.473,164.06,23770.736,304.69,23097.311,257.81,22061.967,363.28,17446.807,398.44,15253.819,585.94,11535.996
CAL_WIN,363,41,D4,0,89.863,241.440,372.0,-232.0,230.0,7.315,988.28,1159.07,2554.69,0.548222,436735.688,220756.953,284048.500,295586.156,250816.625,274444.688,128.91,32393.014,210.94,26487.594,257.81,25350.650,175.78,24942.555,304.69,23796.762,363.28,17877.797,398.44,14811.551,328.12,11776.188
CAL_WIN,382,41,D4,0,87.145,244.771,419.0,-232.0,230.0,7.263,1000.84,1156.37,2554.69,0.555963,406151.281,200970.203,299642.906,284335.250,254544.000,267541.875,128.91,31196.176,257.81,27058.516,164.06,26001.896,210.94,25045.441,304.69,24920.631,363.28,17711.547,398.44,14264.409,328.12,12571.510
CAL_WIN,400,41,D4,0,89.329,242.124,380.0,-232.0,230.0,7.216,1013.65,1153.77,2542.97,0.560029,373870.188,186519.187,312614.031,265901.625,261898.953,257610.703,128.91,28963.568,164.06,27896.541,257.81,27275.062,304.69,25875.225,210.94,24588.102,351.56,18926.865,398.44,14189.382,433.59,12602.714
CAL_WIN,419,41,D4,0,92.552,236.646,327.0,-232.0,230.0,7.192,1010.64,1148.69,2519.53,0.553541,366121.375,181365.687,321302.750,247880.219,270266.531,247946.922,164.06,29994.963,257.81,26436.059,304.69,26296.902,128.91,25639.172,210.94,25607.574,351.56,21628.797,398.44,14555.941,433.59,13340.861
CAL_WIN,438,41,D4,0,92.690,233.833,322.0,-232.0,230.0,7.196,986.10,1139.23,2472.66,0.536736,388790.219,182385.766,337596.938,236225.094,278013.063,239914.266,164.06,32280.051,210.94,27750.414,304.69,25806.898,257.81,24914.775,351.56,24335.660,128.91,22001.832,398.44,15151.389,433.59,12739.423
CAL_WIN,457,41,D4,0,83.016,222.407,431.0,-232.0,212.0,7.213,963.07,1131.07,2437.50,0.520112,407154.844,189064.141,355419.438,230253.844,281295.469,234646.859,164.06,34046.754,210.94,30285.939,351.56,26466.348,281.25,24437.488,304.69,24224.465,257.81,23008.270,398.44,15931.844,421.87,12483.912
CAL_WIN,475,41,D4,0,76.369,228.457,530.0,-232.0,212.0,7.223,950.53,1128.49,2425.78,0.501731,412157.469,193549.828,369059.813,223192.641,277398.000,232748.187,164.06,34720.313,210.94,32517.404,351.56,27518.135,281.25,24095.908,246.09,23948.773,304.69,21817.877,398.44,16930.281,445.31,9035.847
CAL_WIN,494,41,D4,0,77.644,226.536,491.0,-232.0,212.0,7.207,952.74,1134.49,2437.50,0.503052,399627.969,192035.891,375931.125,213499.687,267691.219,233005.516,164.06,34624.504,210.94,34072.375,246.09,27992.541,351.56,27325.867,281.25,22337.896,304.69,18867.932,398.44,18147.465,445.31,9414.736
CAL_WIN,513,41,D4,0,87.019,237.272,479.0,-232.0,236.0,7.165,963.81,1143.96,2460.94,0.507091,370801.531,187884.547,374782.000,204665.734,255572.062,230598.625,222.66,36648.066,164.06,33619.430,246.09,30707.178,351.56,26079.820,281.25,19513.826,398.44,18985.797,304.69,15998.609,445.31,9507.943
CAL_WIN,532,41,D4,0,83.859,221.970,397.0,-192.0,236.0,7.104,984.99,1154.98,2472.66,0.515429,329118.250,182829.062,367928.469,200199.047,243083.562,227965.031,222.66,37571.176,164.06,31205.838,351.56,23842.701,398.44,18830.234,281.25,16477.684,304.69,13797.244,445.31,9495.305,597.66,8108.354
CAL_WIN,550,41,D4,0,79.742,216.040,422.0,-192.0,236.0,7.036,1012.91,1165.70,2531.25,0.541678,286283.344,184690.109,354015.656,200831.875,232845.141,229036.828,234.37,37006.906,152.34,28275.383,351.56,20946.648,398.44,17457.281,281.25,13783.999,316.41,12938.730,445.31,9563.891,597.66,7488.183
CAL_WIN,569,41,D4,0,81.510,217.981,416.0,-192.0,236.0,6.987,1036.98,1174.51,2578.13,0.560342,262252.313,190147.922,330211.688,202992.906,227017.000,231188.281,234.37,37149.027,140.62,28254.488,175.78,24440.662,363.28,19737.115,398.44,15023.112,304.69,13288.298,445.31,9575.953,597.66,6853.169
CAL_WIN,694,41,D4,0,87.169,220.882,354.0,-192.0,240.0,6.986,1047.68,1181.89,2601.56,0.560494,268647.594,198176.156,299687.156,204048.609,226077.000,234975.312,234.37,35660.352,140.62,33487.719,175.78,25969.674,363.28,18743.186,304.69,13317.324,398.44,12279.093,328.12,10066.357,445.31,9288.027
CAL_WIN,713,41,D4,0,87.556,223.060,300.0,-192.0,240.0,7.033,1023.49,1180.35,2578.13,0.548556,319989.156,209085.219,277633.063,211512.156,227847.219,239890.031,140.62,38336.711,234.37,34812.434,175.78,26374.615,257.81,18568.480,363.28,17325.814,292.97,13524.312,398.44,10083.518,328.12,9469.578
CAL_WIN,732,41,D4,0,83.669,219.029,379.0,-192.0,240.0,7.109,988.32,1167.46,2531.25,0.527985,381163.344,219041.234,278834.563,230630.469,235912.031,245555.000,140.62,42137.805,234.37,36123.512,175.78,25468.504,257.81,21762.295,363.28,15923.880,292.97,12839.684,468.75,9719.092,339.84,9667.678
CAL_WIN,750,41,D4,0,86.096,231.514,404.0,-192.0,240.0,7.190,937.86,1139.55,2437.50,0.505172,439584.125,258383.125,310970.344,260916.234,253281.328,251674.266,140.62,44845.547,234.37,39517.145,257.81,27006.695,363.28,15141.651,339.84,13667.367,468.75,11991.955,292.97,11406.544,433.59,10429.872
CAL_WIN,769,41,D4,0,89.327,238.317,368.0,-192.0,240.0,7.258,905.01,1113.67,2343.75,0.494989,477840.438,301530.750,361116.500,296820.969,277544.594,259099.187,140.62,46453.551,234.37,43591.594,187.50,20657.893,339.84,17169.584,363.28,14912.926,468.75,13667.070,433.59,13148.729,503.91,11070.771
CAL_WIN,788,41,D4,0,89.095,238.383,350.0,-192.0,240.0,7.307,893.91,1096.24,2320.31,0.498777,487673.688,335992.875,413663.219,331530.063,302032.906,267755.688,234.37,47083.145,140.62,46556.449,187.50,20761.258,339.84,20292.387,433.59,15741.308,468.75,14691.621,363.28,14666.951,515.62,13292.370
CAL_WIN,807,41,D4,0,86.279,234.021,400.0,-192.0,240.0,7.338,899.68,1087.72,2308.59,0.505428,467251.188,355150.531,451793.906,357131.531,319920.719,273841.625,234.37,48793.902,152.34,44677.230,339.84,22886.354,187.50,19744.303,421.87,18317.121,515.62,15422.022,468.75,14832.027,890.62,11743.723
