label,rep_dir,selected,fs,onset_sample,rms_pre,rms_post,snr_db,peak,clipped,note
a#0,captures\a#0\rep001_20251219-223412,0,48000,15840,0.00076317,0.02653506,30.823,0.09079,0,aligned_meta.onset_sample
a#0,captures\a#0\rep002_20251219-223414,1,48000,14880,0.00058387,0.02838331,33.734,0.09891,0,aligned_meta.onset_sample
a#0,captures\a#0\rep003_20251219-223417,1,48000,15360,0.00059154,0.02875634,33.734,0.10272,0,aligned_meta.onset_sample
a#0,captures\a#0\rep004_20251219-223419,0,48000,14880,0.00071790,0.02515634,30.891,0.09384,0,aligned_meta.onset_sample
a#0,captures\a#0\rep005_20251219-223421,1,48000,14640,0.00070343,0.02704864,31.697,0.09839,0,aligned_meta.onset_sample
a#1,captures\a#1\rep001_20251219-224126,1,48000,15120,0.00046279,0.04774567,40.269,0.15759,0,aligned_meta.onset_sample
a#1,captures\a#1\rep002_20251219-224128,1,48000,15840,0.00078275,0.04481494,35.155,0.14719,0,aligned_meta.onset_sample
a#1,captures\a#1\rep003_20251219-224130,1,48000,15120,0.00080982,0.04636944,35.156,0.14807,0,aligned_meta.onset_sample
a#1,captures\a#1\rep004_20251219-224132,0,48000,15600,0.00077371,0.04341812,34.981,0.14334,0,aligned_meta.onset_sample
a#1,captures\a#1\rep005_20251219-224134,0,48000,15360,0.00070838,0.03857405,34.719,0.12018,0,aligned_meta.onset_sample
a#2,captures\a#2\rep001_20251219-224400,0,48000,14640,0.00146194,0.04560143,29.880,0.13150,0,aligned_meta.onset_sample
a#2,captures\a#2\rep002_20251219-224403,1,48000,15360,0.00123778,0.04333424,30.883,0.14621,0,aligned_meta.onset_sample
a#2,captures\a#2\rep003_20251219-224405,0,48000,15360,0.00143392,0.03905073,28.702,0.13388,0,aligned_meta.onset_sample
a#2,captures\a#2\rep004_20251219-224408,1,48000,15600,0.00118048,0.04160669,30.941,0.12900,0,aligned_meta.onset_sample
a#2,captures\a#2\rep005_20251219-224410,1,48000,14640,0.00081966,0.04230936,34.255,0.14261,0,aligned_meta.onset_sample
a#3,captures\a#3\rep001_20251219-224633,1,48000,15120,0.00046738,0.04819961,40.266,0.15350,0,aligned_meta.onset_sample
a#3,captures\a#3\rep002_20251219-224636,0,48000,15600,0.00081586,0.04235728,34.305,0.12704,0,aligned_meta.onset_sample
a#3,captures\a#3\rep003_20251219-224638,0,48000,15360,0.00076773,0.04607938,35.565,0.14960,0,aligned_meta.onset_sample
a#3,captures\a#3\rep004_20251219-224640,1,48000,15120,0.00070036,0.04846107,36.800,0.16037,0,aligned_meta.onset_sample
a#3,captures\a#3\rep005_20251219-224643,1,48000,15360,0.00070842,0.04665232,36.370,0.15027,0,aligned_meta.onset_sample
