freq_hz,pre_db,post_db,delta_db
58.593750,-23.886526,20.844170,44.730698
70.312500,-31.461727,21.487616,52.949341
82.031250,-27.308701,16.968277,44.276978
93.750000,-22.987076,-0.462212,22.524864
105.468750,-17.468744,30.624111,48.092857
117.187500,-18.321156,35.001637,53.322792
128.906250,-31.003677,28.454802,59.458481
140.625000,-22.848568,20.081120,42.929688
152.343750,-35.567604,25.370358,60.937962
164.062500,-18.134714,26.622532,44.757248
175.781250,-17.820478,21.722088,39.542564
187.500000,-27.053061,10.202437,37.255497
199.218750,-28.268230,6.175512,34.443741
210.937500,-15.754448,17.668865,33.423313
222.656250,-11.615577,24.641445,36.257023
234.375000,-22.764828,22.188488,44.953316
246.093750,-24.658175,8.441686,33.099861
257.812500,-11.504469,12.560308,24.064777
269.531250,-2.004686,19.384424,21.389111
281.250000,-5.241756,24.590723,29.832479
292.968750,-26.098869,22.757511,48.856380
304.687500,-42.500381,13.072748,55.573128
316.406250,-20.582867,0.960838,21.543705
328.125000,-16.214758,13.679093,29.893852
339.843750,-21.522469,23.619940,45.142410
351.562500,-44.623112,23.470753,68.093864
363.281250,-41.802143,11.827296,53.629440
375.000000,-31.241968,11.367271,42.609238
386.718750,-34.285110,14.223238,48.508347
398.437500,-37.465683,13.721065,51.186749
410.156250,-44.597336,3.881289,48.478626
421.875000,-37.272682,3.437366,40.710049
433.593750,-31.373117,6.010832,37.383949
445.312500,-32.361336,8.587025,40.948360
457.031250,-41.703865,17.580677,59.284542
468.750000,-38.976990,13.671057,52.648048
480.468750,-56.414013,3.206457,59.620468
492.187500,-34.696281,1.794198,36.490479
503.906250,-31.727398,13.611517,45.338913
515.625000,-37.896458,19.606113,57.502571
527.343750,-42.987129,15.268489,58.255619
539.062500,-58.997223,0.214244,59.211468
550.781250,-33.078663,7.281291,40.359955
562.500000,-37.573627,2.039757,39.613384
574.218750,-38.303230,9.501699,47.804932
585.937500,-46.513390,0.412546,46.925938
597.656250,-35.291588,4.834358,40.125946
609.375000,-37.191868,5.989275,43.181145
621.093750,-49.271790,7.395772,56.667561
632.812500,-34.659073,16.714827,51.373901
644.531250,-33.401802,15.684966,49.086769
656.250000,-36.880661,10.312181,47.192841
667.968750,-31.942873,11.110629,43.053501
679.687500,-33.566051,17.807878,51.373932
691.406250,-32.630684,20.836241,53.466927
703.125000,-36.743282,15.136511,51.879791
714.843750,-37.178974,9.905721,47.084694
726.562500,-43.241661,4.327073,47.568733
738.281250,-46.477451,15.652950,62.130402
750.000000,-37.507481,19.188993,56.696472
761.718750,-31.116913,8.713230,39.830143
773.437500,-33.497421,3.024399,36.521820
785.156250,-53.353691,-4.826233,48.527458
796.875000,-35.654278,5.553486,41.207764
808.593750,-30.062363,10.061936,40.124298
820.312500,-33.120274,-1.318171,31.802103
832.031250,-44.677738,-6.250411,38.427326
843.750000,-42.201347,-2.800712,39.400635
855.468750,-38.243195,7.104897,45.348091
867.187500,-32.688011,9.381499,42.069511
878.906250,-31.945562,0.151792,32.097355
890.625000,-43.297596,10.057671,53.355267
902.343750,-37.347893,17.889740,55.237633
914.062500,-47.498116,16.957514,64.455627
925.781250,-28.459570,10.913001,39.372570
937.500000,-30.219419,16.365086,46.584503
949.218750,-43.445034,15.690584,59.135620
960.937500,-43.113346,14.198942,57.312286
972.656250,-51.303612,9.479555,60.783165
984.375000,-46.057697,-8.679152,37.378548
996.093750,-54.698524,3.184941,57.883465
1007.812500,-40.564636,-0.416122,40.148514
1019.531250,-43.614792,-5.087159,38.527634
1031.250000,-46.598587,8.516185,55.114773
1042.968750,-50.669670,10.901777,61.571449
1054.687500,-44.138802,6.576162,50.714966
1066.406250,-50.158333,-11.427414,38.730919
1078.125000,-40.705296,-9.248941,31.456354
1089.843750,-42.069923,6.531880,48.601803
1101.562500,-39.503628,7.862198,47.365826
1113.281250,-37.924427,3.050227,40.974655
1125.000000,-40.884384,5.593815,46.478199
1136.718750,-40.909500,2.260068,43.169567
1148.437500,-40.588364,2.865685,43.454048
1160.156250,-37.388916,0.498622,37.887539
1171.875000,-37.364880,3.583519,40.948399
1183.593750,-42.191811,-1.987992,40.203819
1195.312500,-45.798279,-2.114405,43.683876
1207.031250,-43.617058,-10.514550,33.102509
1218.750000,-44.980793,4.125034,49.105827
1230.468750,-39.339268,5.133016,44.472282
1242.187500,-42.525734,-2.691144,39.834591
1253.906250,-48.776436,-9.926465,38.849972
1265.625000,-43.372349,-10.621456,32.750893
1277.343750,-41.882118,-9.173578,32.708542
1289.062500,-36.870201,-1.642922,35.227280
1300.781250,-36.444180,-3.082801,33.361378
1312.500000,-41.546318,-9.369390,32.176926
1324.218750,-35.450279,-11.531116,23.919163
1335.937500,-39.627922,-3.154438,36.473484
1347.656250,-44.621578,3.285903,47.907482
1359.375000,-44.953442,2.216122,47.169563
1371.093750,-48.297253,-3.756861,44.540390
1382.812500,-46.964790,-4.386584,42.578205
1394.531250,-36.501553,-15.929525,20.572027
1406.250000,-36.326393,-10.974675,25.351719
1417.968750,-41.566277,-18.889503,22.676773
1429.687500,-43.080635,-2.572068,40.508568
1441.406250,-40.698933,-1.407751,39.291183
1453.125000,-44.577026,-9.697562,34.879463
1464.843750,-37.292305,-1.101683,36.190620
1476.562500,-51.569695,8.460930,60.030624
1488.281250,-49.539696,6.362271,55.901966
1500.000000,-46.074211,-2.026554,44.047657
1511.718750,-48.944061,-6.447291,42.496769
1523.437500,-60.636440,-0.919412,59.717030
1535.156250,-49.995213,6.729214,56.724426
1546.875000,-43.366264,8.353290,51.719555
1558.593750,-35.046562,4.432450,39.479012
1570.312500,-38.077824,-1.552794,36.525028
1582.031250,-46.356888,-1.300943,45.055946
1593.750000,-46.585049,4.787039,51.372086
1605.468750,-39.552879,8.448530,48.001411
1617.187500,-38.066887,5.312277,43.379166
1628.906250,-36.318287,-0.984535,35.333752
1640.625000,-56.124092,-3.332270,52.791824
1652.343750,-35.168205,-2.293814,32.874390
1664.062500,-35.662819,2.663806,38.326626
1675.781250,-39.576756,6.096426,45.673180
1687.500000,-54.037418,3.852203,57.889622
1699.218750,-48.850903,-3.360918,45.489986
1710.937500,-43.672768,-12.056553,31.616215
1722.656250,-37.164726,-13.064557,24.100170
1734.375000,-36.538269,-22.771017,13.767252
1746.093750,-39.191883,-7.838263,31.353621
1757.812500,-43.583660,0.782607,44.366268
1769.531250,-60.929504,0.944623,61.874126
1781.250000,-46.561165,-6.277053,40.284111
1792.968750,-43.880047,0.721465,44.601513
1804.687500,-50.254868,-2.468282,47.786587
1816.406250,-56.211464,-16.186436,40.025028
1828.125000,-50.183430,-21.496393,28.687037
1839.843750,-40.841187,-7.491823,33.349365
1851.562500,-38.808392,-10.055861,28.752529
1863.281250,-37.787201,-1.141852,36.645348
1875.000000,-37.765926,0.426722,38.192650
1886.718750,-41.514278,-9.352023,32.162254
1898.437500,-44.359253,3.372524,47.731777
1910.156250,-57.532047,1.754573,59.286621
1921.875000,-39.796543,-8.940166,30.856377
1933.593750,-47.427845,-7.899871,39.527973
1945.312500,-34.407719,-1.413103,32.994614
1957.031250,-37.371384,-7.827806,29.543577
1968.750000,-38.649189,-17.741451,20.907738
1980.468750,-36.020008,-13.859274,22.160734
1992.187500,-37.539474,-20.529400,17.010075
2003.906250,-53.756199,1.452632,55.208832
2015.625000,-38.743652,2.911556,41.655209
2027.343750,-42.532906,-14.503941,28.028965
2039.062500,-48.066360,-9.907772,38.158588
2050.781250,-45.188019,-10.036878,35.151142
2062.500000,-41.259617,-8.971293,32.288322
2074.218750,-46.255928,-1.908863,44.347065
2085.937500,-38.272461,0.083775,38.356236
2097.656250,-38.609879,-5.047884,33.561993
2109.375000,-49.238312,-11.899451,37.338860
2121.093750,-41.705173,-15.767414,25.937759
2132.812500,-41.013374,-12.354612,28.658762
2144.531250,-41.043045,-5.414842,35.628204
2156.250000,-39.682835,-5.979685,33.703148
2167.968750,-53.785400,-12.418446,41.366955
2179.687500,-52.159088,-22.961918,29.197170
2191.406250,-43.903511,-14.204326,29.699184
2203.125000,-47.154270,-10.821847,36.332424
2214.843750,-44.119793,-12.160101,31.959692
2226.562500,-41.990898,-22.578451,19.412447
2238.281250,-42.263851,-21.315250,20.948601
2250.000000,-39.315514,-18.491882,20.823631
2261.718750,-37.680832,-14.866815,22.814018
