"CreatedAt","Status","Amount","PaymentDateTime","PrinterIp","Department","Response"
"2026-08-25 20:10:53","PRINTER_ERROR","140.00","2026-06-01 14:38","192.168.8.201","1","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='false' code='PRINTER ERROR' status='17'> 	<addInfo> 		<elementList>lastCommand,printerStatus</elementList> 		<lastCommand>80</lastCommand> 		<printerStatus>00170</printerStatus> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:21:55","SUCCESS","140.00","2026-06-01 14:38","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>00110</printerStatus> 		<fiscalReceiptNumber>2</fiscalReceiptNumber> 		<fiscalReceiptAmount>140,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:21</fiscalReceiptTime> 		<receiptISODateTime>20260825T202100</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:22:48","SUCCESS","140.00","2026-06-30 19:32","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>00110</printerStatus> 		<fiscalReceiptNumber>3</fiscalReceiptNumber> 		<fiscalReceiptAmount>140,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:22</fiscalReceiptTime> 		<receiptISODateTime>20260825T202200</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:23:17","SUCCESS","80.00","2026-07-02 07:57","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>00110</printerStatus> 		<fiscalReceiptNumber>4</fiscalReceiptNumber> 		<fiscalReceiptAmount>80,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:22</fiscalReceiptTime> 		<receiptISODateTime>20260825T202200</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:23:34","SUCCESS","80.00","2026-07-02 22:46","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>00110</printerStatus> 		<fiscalReceiptNumber>5</fiscalReceiptNumber> 		<fiscalReceiptAmount>80,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:23</fiscalReceiptTime> 		<receiptISODateTime>20260825T202300</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:23:57","SUCCESS","80.00","2026-07-07 14:46","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>00110</printerStatus> 		<fiscalReceiptNumber>6</fiscalReceiptNumber> 		<fiscalReceiptAmount>80,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:23</fiscalReceiptTime> 		<receiptISODateTime>20260825T202300</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:24:16","SUCCESS","80.00","2026-07-16 14:36","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>30110</printerStatus> 		<fiscalReceiptNumber>7</fiscalReceiptNumber> 		<fiscalReceiptAmount>80,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:23</fiscalReceiptTime> 		<receiptISODateTime>20260825T202300</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:24:35","SUCCESS","150.00","2026-08-07 06:59","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>00110</printerStatus> 		<fiscalReceiptNumber>8</fiscalReceiptNumber> 		<fiscalReceiptAmount>150,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:24</fiscalReceiptTime> 		<receiptISODateTime>20260825T202400</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:24:52","SUCCESS","105.00","2026-08-07 09:13","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>00110</printerStatus> 		<fiscalReceiptNumber>9</fiscalReceiptNumber> 		<fiscalReceiptAmount>105,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:24</fiscalReceiptTime> 		<receiptISODateTime>20260825T202400</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:25:14","SUCCESS","80.00","2026-08-08 07:53","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>30110</printerStatus> 		<fiscalReceiptNumber>10</fiscalReceiptNumber> 		<fiscalReceiptAmount>80,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:24</fiscalReceiptTime> 		<receiptISODateTime>20260825T202400</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:25:42","SUCCESS","140.00","2026-08-10 22:53","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>00110</printerStatus> 		<fiscalReceiptNumber>11</fiscalReceiptNumber> 		<fiscalReceiptAmount>140,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:25</fiscalReceiptTime> 		<receiptISODateTime>20260825T202500</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
"2026-08-25 20:25:58","SUCCESS","140.00","2026-08-11 17:02","192.168.8.201","11","<?xml version='1.0' encoding='utf-8'?> <soapenv:Envelope xmlns:soapenv='http://schemas.xmlsoap.org/soap/envelope/'> <soapenv:Body> <response success='true' code='' status='2'> 	<addInfo> 	<elementList>lastCommand,printerStatus,fiscalReceiptNumber,fiscalReceiptAmount,fiscalReceiptDate,fiscalReceiptTime,receiptISODateTime,zRepNumber,serialNumber</elementList> 		<lastCommand>74</lastCommand> 		<printerStatus>30110</printerStatus> 		<fiscalReceiptNumber>12</fiscalReceiptNumber> 		<fiscalReceiptAmount>140,00</fiscalReceiptAmount> 		<fiscalReceiptDate>25/8/2026</fiscalReceiptDate> 		<fiscalReceiptTime>20:25</fiscalReceiptTime> 		<receiptISODateTime>20260825T202500</receiptISODateTime> 		<zRepNumber>88</zRepNumber> 		<serialNumber>99IEC049478</serialNumber> 	</addInfo> </response> </soapenv:Body> </soapenv:Envelope> "
